City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Rikitea,PF,77.34,light rain,-23.1203,-134.9692,Rikitea
7,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Alofi
10,Port Alfred,ZA,73.49,overcast clouds,-33.5906,26.891,Port Alfred
11,Coahuayana,MX,76.19,scattered clouds,18.7333,-103.6833,Coahuayana de Hidalgo
15,Isangel,VU,86.11,moderate rain,-19.55,169.2667,Isangel
16,Busselton,AU,70.11,overcast clouds,-33.65,115.3333,Busselton
18,Kapaa,US,78.78,light rain,22.0752,-159.319,Kapaʻa
24,Prainha,BR,75.61,overcast clouds,-1.8,-53.48,Prainha
26,Butaritari,KI,82.26,scattered clouds,3.0707,172.7902,Ukiangang
28,Sawtell,AU,79.12,scattered clouds,-30.3833,153.1,Coffs Harbour
30,Hithadhoo,MV,81.86,overcast clouds,-0.6,73.0833,Addu City
34,Trinidad,BO,76.55,overcast clouds,-14.8333,-64.9,Trinidad
35,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Carnarvon
36,Atuona,PF,79.05,scattered clouds,-9.8,-139.0333,Atuona
37,Ambon,ID,91.54,scattered clouds,-3.6954,128.1814,Teluk Ambon
40,Victoria,HK,74.17,clear sky,22.2855,114.1577,Hong Kong
46,Mocajuba,BR,75.33,overcast clouds,-2.5842,-49.5072,Mocajuba
47,San Estanislao,CO,78.89,overcast clouds,10.3983,-75.1511,San Estanislao
48,Sola,VU,83.08,moderate rain,-13.8833,167.55,Sola
49,Saint-Philippe,RE,82.22,scattered clouds,-21.3585,55.7679,Saint-Philippe
53,Vao,NC,76.35,moderate rain,-22.6667,167.4833,Vao
55,Port Elizabeth,ZA,70.09,light rain,-33.918,25.5701,Gqeberha
57,Vung Tau,VN,80.98,overcast clouds,10.346,107.0843,Vũng Tàu
59,Cabo San Lucas,MX,73.15,broken clouds,22.8909,-109.9124,Cabo San Lucas
62,New Norfolk,AU,81.66,few clouds,-42.7826,147.0587,New Norfolk
63,Georgetown,MY,88.9,few clouds,5.4112,100.3354,George Town
64,Avarua,CK,73.45,moderate rain,-21.2078,-159.775,Avarua District
69,Harper,LR,78.13,light rain,4.375,-7.7169,Harper
71,Codajas,BR,73.38,light rain,-3.8367,-62.0569,Codajás
75,Puerto Asis,CO,73.47,broken clouds,0.5133,-76.5007,Puerto Asís
79,Buala,SB,84.34,moderate rain,-8.145,159.5921,Buala
80,Cozumel,MX,75.18,clear sky,20.5083,-86.9458,San Miguel de Cozumel
83,Hilo,US,74.93,light rain,19.7297,-155.09,Hilo
84,Davila,PH,87.78,scattered clouds,18.4726,120.5763,Pasuquin
85,Mahebourg,MU,82.26,broken clouds,-20.4081,57.7,Mahebourg
86,San Juan Del Sur,NI,77.2,scattered clouds,11.2529,-85.8705,San Juan del Sur
90,Kavaratti,IN,82.31,broken clouds,10.5669,72.642,Kavaratti
94,Vaini,TO,84.36,light rain,-21.2,-175.2,Nukuhetulu
95,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Cabedelo
98,Sao Joao Da Barra,BR,75.06,overcast clouds,-21.6403,-41.0511,Grussaí
106,Bambous Virieux,MU,82.22,broken clouds,-20.3428,57.7575,Vieux Grand Port
107,Cap Malheureux,MU,82.47,clear sky,-19.9842,57.6142,Grand Baie
110,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,Port Blair
112,Bandarbeyla,SO,78.22,clear sky,9.4942,50.8122,Bandarbeyla
114,Mundo Nuevo,MX,73.53,overcast clouds,18.7,-95.5,Ciénega del Sur
117,Gizo,SB,85.5,light rain,-8.103,156.8419,Gizo
121,East London,ZA,70.74,clear sky,-33.0153,27.9116,East London
126,Marsh Harbour,BS,75.97,clear sky,26.5412,-77.0636,Marsh Harbour
128,Samarinda,ID,85.6,overcast clouds,-0.5,117.15,Samarinda
130,Salinopolis,BR,80.58,broken clouds,-0.6136,-47.3561,Salinópolis
134,Tsiroanomandidy,MG,77.36,overcast clouds,-18.7667,46.0333,Tsiroanomandidy
135,Hobart,AU,82.02,broken clouds,-42.8794,147.3294,Hobart
142,Namatanai,PG,86.4,overcast clouds,-3.6667,152.4333,Namatanai
143,Gladstone,AU,87.78,scattered clouds,-23.85,151.25,Gladstone
146,Airai,TL,73.4,broken clouds,-8.9266,125.4092,Atsabe
150,Sur,OM,75.56,scattered clouds,22.5667,59.5289,Sur
156,Umm Lajj,SA,75.56,overcast clouds,25.0213,37.2685,Umluj
160,Belmonte,BR,75.7,overcast clouds,-15.8631,-38.8828,Belmonte
161,Inirida,CO,72.99,overcast clouds,3.8653,-67.9239,Inírida
162,Yeppoon,AU,87.58,clear sky,-23.1333,150.7333,Yeppoon
163,Dicabisagan,PH,78.87,broken clouds,17.0818,122.4157,Ilagan
168,Senanga,ZM,74.98,broken clouds,-16.1167,23.2667,Senanga
171,Tomatlan,MX,71.42,few clouds,19.9333,-105.25,Tomatlán
172,Bahia De Caraquez,EC,75.38,light rain,-0.6,-80.4167,Bahia de Caraquez
175,Manta,EC,74.98,moderate rain,-0.95,-80.7333,Manta
178,Itarema,BR,80.56,overcast clouds,-2.9248,-39.9167,Itarema
180,Saint-Pierre,RE,82.29,clear sky,-21.3393,55.4781,Saint Pierre
181,Akyab,MM,80.49,clear sky,20.15,92.9,Sittwe
185,Tabuk,PH,74.12,overcast clouds,17.4189,121.4443,Tabuk
187,Sao Filipe,CV,74.66,broken clouds,14.8961,-24.4956,Sao Filipe
188,Itaquyry,PY,77.22,broken clouds,-24.9333,-55.2167,Ykua Pora
189,Goundam,ML,70.27,scattered clouds,16.4145,-3.6708,Goundam
195,Jalingo,NG,73.29,clear sky,8.8833,11.3667,Jalingo
198,Grenfell,AU,82.45,clear sky,-33.9,148.1667,Grenfell
200,Quatre Cocos,MU,82.09,few clouds,-20.2078,57.7625,Central Flacq
201,Santa Rosa,PH,87.78,overcast clouds,14.3122,121.1114,Santa Rosa
207,Port-Gentil,GA,79.52,overcast clouds,-0.7193,8.7815,Port-Gentil
209,Faanui,PF,81.16,light rain,-16.4833,-151.75,Vaitape
217,Biak,ID,85.08,broken clouds,-0.9131,122.8766,CV. MEGA RENTAL Mobil Luwuk Banggai
