City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ribeira Grande,38.5167,-28.7,58.53,54,100,18.77,PT,2021-12-13 00:06:10
1,Qaanaaq,77.484,-69.3632,-3.91,72,76,4.79,GL,2021-12-13 00:06:10
2,Klaksvik,62.2266,-6.589,40.12,91,100,15.46,FO,2021-12-13 00:06:10
3,Atuona,-9.8,-139.0333,79.14,79,25,18.5,PF,2021-12-13 00:06:11
4,Ushuaia,-54.8,-68.3,40.06,73,55,10.36,AR,2021-12-13 00:04:12
5,Vanimo,-2.6741,141.3028,83.21,77,100,6.42,PG,2021-12-13 00:06:11
6,Rio Grande,-32.035,-52.0986,73.51,77,0,15.66,BR,2021-12-13 00:06:11
7,Havre-Saint-Pierre,50.2334,-63.5986,28.89,67,54,36.6,CA,2021-12-13 00:06:12
8,Mar Del Plata,-38.0023,-57.5575,65.88,84,100,11.01,AR,2021-12-13 00:04:13
9,Puerto Ayora,-0.7393,-90.3518,68.56,96,99,4.0,EC,2021-12-13 00:05:28
10,Aksum,14.1245,38.7244,50.0,65,0,4.36,ET,2021-12-13 00:06:12
11,Kungsbacka,57.4872,12.0761,37.08,93,100,3.0,SE,2021-12-13 00:06:13
12,Balakhta,55.38,91.6,-0.98,99,100,3.13,RU,2021-12-13 00:06:13
13,Albany,42.6001,-73.9662,40.57,49,0,9.04,US,2021-12-13 00:05:38
14,Dzaoudzi,-12.7887,45.2699,78.69,78,0,3.44,YT,2021-12-13 00:06:13
15,Lagoa,39.05,-27.9833,57.52,54,100,20.87,PT,2021-12-13 00:06:14
16,Port Elizabeth,-33.918,25.5701,71.1,94,100,10.56,ZA,2021-12-13 00:06:14
17,Port Alfred,-33.5906,26.891,71.58,95,100,11.59,ZA,2021-12-13 00:06:15
18,Uige,-7.6087,15.0613,66.67,99,100,0.49,AO,2021-12-13 00:06:15
19,Bluff,-46.6,168.3333,64.8,71,20,9.26,NZ,2021-12-13 00:06:15
20,Meulaboh,4.1363,96.1285,75.63,90,90,1.88,ID,2021-12-13 00:06:16
21,San Patricio,28.017,-97.5169,62.58,45,0,7.99,US,2021-12-13 00:06:16
22,Dikson,73.5069,80.5464,-16.87,96,95,15.77,RU,2021-12-13 00:04:23
23,Georgetown,5.4112,100.3354,78.89,81,20,3.44,MY,2021-12-13 00:02:37
24,Rikitea,-23.1203,-134.9692,77.81,75,88,7.85,PF,2021-12-13 00:06:17
25,Pevek,69.7008,170.3133,-32.73,96,12,2.59,RU,2021-12-13 00:06:18
26,Vaini,-21.2,-175.2,86.16,79,20,11.5,TO,2021-12-13 00:06:18
27,Chuy,-33.6971,-53.4616,68.4,76,8,12.64,UY,2021-12-13 00:06:18
28,Jining,35.405,116.5814,31.24,53,0,5.84,CN,2021-12-13 00:04:58
29,Inirida,3.8653,-67.9239,78.69,83,59,2.73,CO,2021-12-13 00:06:19
30,Aldan,58.6031,125.3894,-16.64,84,93,1.86,RU,2021-12-13 00:06:19
31,Murgab,37.4966,61.9714,46.47,76,95,8.95,TM,2021-12-13 00:06:19
32,Esperance,-33.8667,121.9,60.1,50,69,4.14,AU,2021-12-13 00:06:20
33,Busselton,-33.65,115.3333,60.04,52,100,7.52,AU,2021-12-13 00:06:20
34,Chinsali,-10.5414,32.0816,64.13,74,59,0.74,ZM,2021-12-13 00:06:20
35,Bremervorde,53.4833,9.1333,49.26,99,100,6.87,DE,2021-12-13 00:06:21
36,Cape Town,-33.9258,18.4232,66.34,79,97,4.0,ZA,2021-12-13 00:05:25
37,Seymchan,62.8833,152.4333,-14.8,98,100,8.48,RU,2021-12-13 00:06:21
38,Volodarka,49.5248,29.9122,39.06,87,100,8.39,UA,2021-12-13 00:06:22
39,Ostrovnoy,68.0531,39.5131,29.86,92,100,14.92,RU,2021-12-13 00:06:22
40,Cabo San Lucas,22.8909,-109.9124,74.95,73,40,4.61,MX,2021-12-13 00:06:23
41,Srednekolymsk,67.45,153.6833,-36.92,96,98,2.3,RU,2021-12-13 00:01:33
42,Gwanda,-20.9333,29.0,73.69,46,68,3.47,ZW,2021-12-13 00:06:23
43,Punta Arenas,-53.15,-70.9167,46.51,49,75,23.02,CL,2021-12-13 00:06:24
44,Banbury,52.0602,-1.3403,53.94,87,98,3.0,GB,2021-12-13 00:06:24
45,Kapaa,22.0752,-159.319,80.92,71,20,1.99,US,2021-12-13 00:06:25
46,Constitucion,-35.3333,-72.4167,55.22,69,1,17.2,CL,2021-12-13 00:06:25
47,Ahipara,-35.1667,173.1667,70.03,94,100,7.83,NZ,2021-12-13 00:06:25
48,Victoria,22.2855,114.1577,65.32,71,52,1.01,HK,2021-12-13 00:06:26
49,Hobart,-42.8794,147.3294,68.25,54,20,4.0,AU,2021-12-13 00:06:26
50,Saint-Philippe,-21.3585,55.7679,76.59,74,74,11.39,RE,2021-12-13 00:06:26
51,Suntar,62.1444,117.6319,-16.47,95,100,6.73,RU,2021-12-13 00:06:27
