city_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
0,Mataura,-46.1927,168.8643,61.48,42,17,6.82,NZ,light rain,2021-12-13 04:46:42
1,Necochea,-38.5473,-58.7368,59.04,64,35,5.59,AR,scattered clouds,2021-12-13 04:49:58
2,Khatanga,71.9667,102.5,-36.78,95,90,6.8,RU,overcast clouds,2021-12-13 04:47:22
3,Puerto Ayora,-0.7393,-90.3518,68.56,97,92,1.01,EC,overcast clouds,2021-12-13 04:47:50
4,Albany,42.6001,-73.9662,39.72,58,0,1.01,US,clear sky,2021-12-13 04:46:47
5,Longyearbyen,78.2186,15.6401,31.84,86,40,21.85,SJ,scattered clouds,2021-12-13 04:47:41
6,Rikitea,-23.1203,-134.9692,77.34,78,89,9.66,PF,light rain,2021-12-13 04:46:53
7,Alofi,-19.0595,-169.9187,80.49,69,75,8.05,NU,broken clouds,2021-12-13 04:52:47
8,Jamestown,42.097,-79.2353,38.79,57,1,4.0,US,clear sky,2021-12-13 04:43:02
9,Lasa,46.6166,10.7002,40.08,94,62,7.58,IT,broken clouds,2021-12-13 04:52:47
10,Port Alfred,-33.5906,26.891,73.49,89,100,10.4,ZA,overcast clouds,2021-12-13 04:47:18
11,Coahuayana,18.7333,-103.6833,76.19,89,36,3.27,MX,scattered clouds,2021-12-13 04:45:20
12,Flin Flon,54.7682,-101.865,8.15,95,100,4.65,CA,overcast clouds,2021-12-13 04:45:42
13,Killybegs,54.6333,-8.45,46.33,72,100,15.26,IE,overcast clouds,2021-12-13 04:52:48
14,Punta Arenas,-53.15,-70.9167,42.91,65,40,13.8,CL,scattered clouds,2021-12-13 04:46:51
15,Isangel,-19.55,169.2667,86.11,79,90,6.91,VU,moderate rain,2021-12-13 04:49:15
16,Busselton,-33.65,115.3333,70.11,41,100,11.21,AU,overcast clouds,2021-12-13 04:46:52
17,Calvinia,-31.4707,19.776,59.13,68,59,7.87,ZA,broken clouds,2021-12-13 04:52:48
18,Kapaa,22.0752,-159.319,78.78,78,40,4.0,US,light rain,2021-12-13 04:42:34
19,Huilong,31.8111,121.655,49.98,47,5,7.4,CN,clear sky,2021-12-13 04:52:49
20,Hermanus,-34.4187,19.2345,62.91,84,64,5.44,ZA,light rain,2021-12-13 04:46:46
21,Montpellier,43.6109,3.8772,39.72,93,0,4.61,FR,clear sky,2021-12-13 04:52:49
22,Ushuaia,-54.8,-68.3,33.55,94,83,2.95,AR,broken clouds,2021-12-13 04:46:43
23,San Quintin,30.4833,-115.95,49.44,79,4,1.34,MX,clear sky,2021-12-13 04:46:11
24,Prainha,-1.8,-53.48,75.61,87,100,2.95,BR,overcast clouds,2021-12-13 04:52:50
25,Saint George,37.1041,-113.5841,41.59,63,1,1.99,US,clear sky,2021-12-13 04:48:50
26,Butaritari,3.0707,172.7902,82.26,73,26,16.46,KI,scattered clouds,2021-12-13 04:47:00
27,Carballo,43.213,-8.691,52.86,90,56,3.91,ES,broken clouds,2021-12-13 04:52:50
28,Sawtell,-30.3833,153.1,79.12,64,25,14.97,AU,scattered clouds,2021-12-13 04:52:51
29,Strelka,58.0728,93.0344,-2.72,96,97,3.31,RU,overcast clouds,2021-12-13 04:52:51
30,Hithadhoo,-0.6,73.0833,81.86,75,95,11.18,MV,overcast clouds,2021-12-13 04:46:49
31,Erzin,36.9559,36.2,52.32,50,100,8.75,TR,overcast clouds,2021-12-13 04:52:51
32,Srednekolymsk,67.45,153.6833,-29.97,95,99,2.44,RU,overcast clouds,2021-12-13 04:47:18
33,Chokurdakh,70.6333,147.9167,-35.77,97,99,2.75,RU,overcast clouds,2021-12-13 04:46:50
34,Trinidad,-14.8333,-64.9,76.55,89,99,7.23,BO,overcast clouds,2021-12-13 04:47:20
35,Carnarvon,-24.8667,113.6333,80.67,61,1,20.71,AU,clear sky,2021-12-13 04:47:23
36,Atuona,-9.8,-139.0333,79.05,79,46,18.54,PF,scattered clouds,2021-12-13 04:47:12
37,Ambon,-3.6954,128.1814,91.54,58,40,5.75,ID,scattered clouds,2021-12-13 04:49:42
38,Sitka,57.0531,-135.33,35.49,55,40,5.75,US,scattered clouds,2021-12-13 04:50:08
39,Sakakah,29.9697,40.2064,53.17,36,100,7.63,SA,overcast clouds,2021-12-13 04:52:53
40,Victoria,22.2855,114.1577,74.17,66,0,1.01,HK,clear sky,2021-12-13 04:44:30
41,Lavrentiya,65.5833,-171.0,-15.79,90,65,4.32,RU,broken clouds,2021-12-13 04:47:01
42,Provideniya,64.3833,-173.3,-8.64,70,67,15.66,RU,broken clouds,2021-12-13 04:48:09
43,Mount Isa,-20.7333,139.5,103.77,7,0,9.22,AU,clear sky,2021-12-13 04:47:36
44,Cape Town,-33.9258,18.4232,65.08,85,20,4.0,ZA,few clouds,2021-12-13 04:43:10
45,Constitucion,-35.3333,-72.4167,50.05,77,0,8.72,CL,clear sky,2021-12-13 04:46:22
46,Mocajuba,-2.5842,-49.5072,75.33,94,100,2.37,BR,overcast clouds,2021-12-13 04:52:54
47,San Estanislao,10.3983,-75.1511,78.89,92,86,0.92,CO,overcast clouds,2021-12-13 04:52:54
48,Sola,-13.8833,167.55,83.08,76,99,14.47,VU,moderate rain,2021-12-13 04:52:54
49,Saint-Philippe,-21.3585,55.7679,82.22,74,36,11.74,RE,scattered clouds,2021-12-13 04:46:59
50,Salinas,36.6777,-121.6555,54.82,81,90,5.75,US,light rain,2021-12-13 04:47:27
51,Oranjemund,-28.55,16.4333,61.83,91,10,4.94,NA,clear sky,2021-12-13 04:52:55
52,Fortuna,40.5982,-124.1573,49.66,91,90,1.99,US,overcast clouds,2021-12-13 04:48:31
53,Vao,-22.6667,167.4833,76.35,91,100,14.97,NC,moderate rain,2021-12-13 04:47:56
54,Bredasdorp,-34.5322,20.0403,61.29,84,90,5.08,ZA,overcast clouds,2021-12-13 04:47:37
55,Port Elizabeth,-33.918,25.5701,70.09,94,75,4.61,ZA,light rain,2021-12-13 04:47:13
56,Ancud,-41.8697,-73.8203,50.43,81,100,3.58,CL,overcast clouds,2021-12-13 04:46:37
57,Vung Tau,10.346,107.0843,80.98,68,99,1.7,VN,overcast clouds,2021-12-13 04:52:56
58,Leningradskiy,69.3833,178.4167,-30.77,89,11,4.12,RU,few clouds,2021-12-13 04:50:03
